Frame,Timestamp,Event
5945,1744588348.7170873,Start of Saving Image: frame_5945.png
5945,1744588348.7327282,End of Saving Image: frame_5945.png
5946,1744588348.732962,Start of Saving Image: frame_5946.png
5946,1744588348.7410026,End of Saving Image: frame_5946.png
5947,1744588348.7211857,Start of Frame 5947
5947,1744588348.7412798,End of Frame 5947
5947,1744588348.7474885,Start Get Vehicle Position (on manual_control.py Side)
5947,1744588348.7475033,End Get Vehicle Position (on manual_control.py Side)
5947,1744588348.7474895,Start Get Vehicle Position (on record.py Side)
5947,1744588348.747502,End Get Vehicle Position (on record.py Side)
5947,1744588348.7412872,Start of Frame 5947
5947,1744588348.7524958,End of Frame 5947
5948,1744588348.7634938,Start Get Vehicle Position (on manual_control.py Side)
5948,1744588348.7635083,End Get Vehicle Position (on manual_control.py Side)
5948,1744588348.7634952,Start Get Vehicle Position (on record.py Side)
5948,1744588348.763507,End Get Vehicle Position (on record.py Side)
5947,1744588348.7496338,Start of Saving Image: frame_5947.png
5947,1744588348.764899,End of Saving Image: frame_5947.png
5948,1744588348.7525094,Start of Frame 5948
5948,1744588348.7690303,End of Frame 5948
5949,1744588348.7799158,Start Get Vehicle Position (on manual_control.py Side)
5949,1744588348.779928,End Get Vehicle Position (on manual_control.py Side)
5949,1744588348.7799165,Start Get Vehicle Position (on record.py Side)
5949,1744588348.7799268,End Get Vehicle Position (on record.py Side)
5949,1744588348.7690418,Start of Frame 5949
5949,1744588348.7851603,End of Frame 5949
5950,1744588348.7954893,Start Get Vehicle Position (on manual_control.py Side)
5950,1744588348.7955027,End Get Vehicle Position (on manual_control.py Side)
5950,1744588348.7954903,Start Get Vehicle Position (on record.py Side)
5950,1744588348.7955015,End Get Vehicle Position (on record.py Side)
5948,1744588348.7798054,Start of Saving Image: frame_5948.png
5948,1744588348.7968304,End of Saving Image: frame_5948.png
5950,1744588348.7851665,Start of Frame 5950
5950,1744588348.8043323,End of Frame 5950
5950,1744588348.8115835,Start Get Vehicle Position (on manual_control.py Side)
5950,1744588348.8116052,End Get Vehicle Position (on manual_control.py Side)
5950,1744588348.8115852,Start Get Vehicle Position (on record.py Side)
5950,1744588348.8116033,End Get Vehicle Position (on record.py Side)
5949,1744588348.797277,Start of Saving Image: frame_5949.png
5949,1744588348.8139,End of Saving Image: frame_5949.png
5950,1744588348.8043456,Start of Frame 5950
5950,1744588348.82409,End of Frame 5950
5951,1744588348.8275146,Start Get Vehicle Position (on manual_control.py Side)
5951,1744588348.8275347,End Get Vehicle Position (on manual_control.py Side)
5951,1744588348.8275158,Start Get Vehicle Position (on record.py Side)
5951,1744588348.8275335,End Get Vehicle Position (on record.py Side)
5950,1744588348.817461,Start of Saving Image: frame_5950.png
5950,1744588348.829601,End of Saving Image: frame_5950.png
5951,1744588348.8240988,Start of Frame 5951
5951,1744588348.8349526,End of Frame 5951
5952,1744588348.8434873,Start Get Vehicle Position (on manual_control.py Side)
5952,1744588348.8434997,End Get Vehicle Position (on manual_control.py Side)
5952,1744588348.843488,Start Get Vehicle Position (on record.py Side)
5952,1744588348.8434987,End Get Vehicle Position (on record.py Side)
5951,1744588348.8330271,Start of Saving Image: frame_5951.png
5951,1744588348.8449612,End of Saving Image: frame_5951.png
5952,1744588348.834961,Start of Frame 5952
